,Baltimore Ravens,Buffalo Bills,Cincinnati Bengals,Dallas Cowboys,Jacksonville Jaguars,Kansas City Chiefs,Los Angeles Chargers,Miami Dolphins,Minnesota Vikings,New York Giants,Philadelphia Eagles,San Francisco 49ers,Seattle Seahawks,Tampa Bay Buccaneers
Baltimore Ravens,0.0,0.8695652173913043,1.5925925925925926,0.0,0.9642857142857143,0.0,0.0,0.9047619047619048,0.0,0.8333333333333334,0.0,0.0,0.0,1.0
Buffalo Bills,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.9047619047619047,0.9090909090909091,0.0,0.0,0.0,0.0,0.0
Cincinnati Bengals,1.8947368421052633,0.0,0.0,0.85,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Dallas Cowboys,0.0,0.0,1.0,0.0,0.85,0.0,0.0,0.0,1.0,2.0,1.6538461538461537,0.0,0.0,0.15789473684210525
Jacksonville Jaguars,1.0,0.0,0.0,1.0,0.0,0.6296296296296297,1.0,0.0,0.0,0.7391304347826086,0.7241379310344828,0.0,0.0,0.0
Kansas City Chiefs,0.0,0.8333333333333334,0.8888888888888888,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Los Angeles Chargers,0.0,0.0,0.0,0.0,0.2631578947368421,1.7888888888888888,0.0,1.0,0.0,0.0,0.0,0.7272727272727273,0.6216216216216216,0.0
Miami Dolphins,1.0,1.90625,0.5555555555555556,0.0,0.0,0.0,0.7391304347826086,0.0,0.6666666666666666,0.0,0.0,0.5151515151515151,0.0,0.0
Minnesota Vikings,0.0,1.0,0.0,0.075,0.0,0.0,0.0,1.0,0.0,1.0,0.2916666666666667,0.0,0.0,0.0
New York Giants,1.0,0.0,0.0,1.4099378881987579,1.0,0.0,0.0,0.0,0.8888888888888888,0.0,1.1856060606060606,0.0,0.48148148148148145,0.0
Philadelphia Eagles,0.0,0.0,0.0,1.85,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
San Francisco 49ers,0.0,0.0,0.0,0.0,0.0,0.5227272727272727,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
Seattle Seahawks,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,1.0,0.0,0.0,1.0,0.0,0.8783068783068784,0.0,0.7619047619047619
Tampa Bay Buccaneers,0.8148148148148148,0.0,0.6764705882352942,1.0,0.0,0.7560975609756098,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0
